timestamp,service,level,message
1782909275483654144,frontend,INFO,home
1782909275500907008,frontend,INFO,env platform is either empty or invalid
1782909275503084032,frontend,DEBUG,ENV_PLATFORM is: local
1782909275503237888,frontend,WARNING,failed to retrieve ads
1782909275504094976,frontend,DEBUG,request complete
1782909275504924928,frontend,DEBUG,request started
1782909275505104896,frontend,DEBUG,setting currency
1782909275505223936,frontend,DEBUG,request complete
1782909275505969920,frontend,DEBUG,request started
1782909275506009088,frontend,INFO,home
1782909275564441856,frontend,INFO,env platform is either empty or invalid
1782909275567461888,frontend,DEBUG,ENV_PLATFORM is: local
1782909275567593984,frontend,WARNING,failed to retrieve ads
1782909275568347904,frontend,DEBUG,request complete
1782909276484983040,frontend,DEBUG,request started
1782909276485040896,frontend,INFO,home
1782909276498908928,frontend,INFO,env platform is either empty or invalid
1782909276502414080,frontend,DEBUG,ENV_PLATFORM is: local
1782909276502594048,frontend,WARNING,failed to retrieve ads
1782909276503271168,frontend,DEBUG,request complete
1782909276504152064,frontend,DEBUG,request started
1782909276504168960,frontend,DEBUG,serving product page
1782909276515249920,frontend,WARNING,failed to retrieve ads
1782909276515783936,frontend,DEBUG,request complete
1782909276531471872,frontend,DEBUG,request started
1782909276531497984,frontend,DEBUG,setting currency
1782909276531502080,frontend,DEBUG,request complete
1782909276532171008,frontend,DEBUG,request started
1782909276532182016,frontend,INFO,home
1782909276560993792,frontend,INFO,env platform is either empty or invalid
1782909276563368192,frontend,DEBUG,ENV_PLATFORM is: local
1782909276563638016,frontend,WARNING,failed to retrieve ads
1782909276564745984,frontend,DEBUG,request complete
1782909277105778944,frontend,DEBUG,request started
1782909277105836032,frontend,DEBUG,setting currency
1782909277105956096,frontend,DEBUG,request complete
1782909277106776064,frontend,DEBUG,request started
1782909277106838016,frontend,INFO,home
1782909277120343040,frontend,INFO,env platform is either empty or invalid
1782909277122420992,frontend,DEBUG,ENV_PLATFORM is: local
1782909277122596096,frontend,WARNING,failed to retrieve ads
1782909277123212032,frontend,DEBUG,request complete
1782909277485814016,frontend,DEBUG,request started
1782909277485833984,frontend,INFO,home
1782909277502525184,frontend,INFO,env platform is either empty or invalid
1782909277506080000,frontend,DEBUG,ENV_PLATFORM is: local
1782909277506260992,frontend,WARNING,failed to retrieve ads
1782909277506973952,frontend,DEBUG,request complete
1782909277507714048,frontend,DEBUG,request started
1782909277507723008,frontend,DEBUG,serving product page
1782909277520837120,frontend,WARNING,failed to retrieve ads
1782909277521308928,frontend,DEBUG,request complete
1782909277522112000,frontend,DEBUG,request started
1782909277522263040,frontend,DEBUG,adding to cart
1782909277604617216,frontend,DEBUG,request complete
1782909277605492992,frontend,DEBUG,request started
1782909277605509120,frontend,DEBUG,view user cart
1782909277623390976,frontend,DEBUG,request complete
1782909277625453824,frontend,DEBUG,request started
1782909277625467904,frontend,DEBUG,placing order
1782909277785367040,frontend,DEBUG,request started
1782909277785432064,frontend,DEBUG,serving product page
1782909277795649024,frontend,WARNING,failed to retrieve ads
1782909277796180992,frontend,DEBUG,request complete
1782909277797010944,frontend,DEBUG,request started
1782909277797116160,frontend,DEBUG,adding to cart
1782909277800555008,frontend,DEBUG,request complete
1782909277801344000,frontend,DEBUG,request started
1782909277801373952,frontend,DEBUG,view user cart
1782909277814017024,frontend,DEBUG,request complete
1782909277831526144,frontend,INFO,order placed
1782909277838799104,frontend,DEBUG,request complete
1782909278487643904,frontend,DEBUG,request started
1782909278487696896,frontend,INFO,home
1782909278502432000,frontend,INFO,env platform is either empty or invalid
1782909278504312064,frontend,DEBUG,ENV_PLATFORM is: local
1782909278504403200,frontend,WARNING,failed to retrieve ads
1782909278505129216,frontend,DEBUG,request complete
1782909278505867008,frontend,DEBUG,request started
1782909278505875200,frontend,DEBUG,serving product page
1782909278515866112,frontend,WARNING,failed to retrieve ads
1782909278516293888,frontend,DEBUG,request complete
1782909278586225152,frontend,DEBUG,request started
1782909278586253824,frontend,DEBUG,request complete
1782909278586363136,frontend,DEBUG,request started
1782909278586371072,frontend,DEBUG,request complete
1782909279488014848,frontend,DEBUG,request started
1782909279488033024,frontend,INFO,home
1782909279502616832,frontend,INFO,env platform is either empty or invalid
1782909279504604160,frontend,DEBUG,ENV_PLATFORM is: local
1782909279504739072,frontend,WARNING,failed to retrieve ads
1782909279505420800,frontend,DEBUG,request complete
1782909279506170112,frontend,DEBUG,request started
1782909279506223872,frontend,DEBUG,serving product page
1782909279517071872,frontend,WARNING,failed to retrieve ads
1782909279517537024,frontend,DEBUG,request complete
1782909280489752064,frontend,DEBUG,request started
1782909280489775872,frontend,INFO,home
1782909280504587008,frontend,INFO,env platform is either empty or invalid
1782909280507011840,frontend,DEBUG,ENV_PLATFORM is: local
1782909280507160832,frontend,WARNING,failed to retrieve ads
1782909280507842048,frontend,DEBUG,request complete
1782909280508569856,frontend,DEBUG,request started
1782909280508960000,frontend,INFO,home
1782909280522541056,frontend,INFO,env platform is either empty or invalid
1782909280524563200,frontend,DEBUG,ENV_PLATFORM is: local
1782909280524854016,frontend,WARNING,failed to retrieve ads
1782909280525530112,frontend,DEBUG,request complete
1782909280557664000,frontend,DEBUG,request started
1782909280557744896,frontend,DEBUG,serving product page
1782909280612623104,frontend,WARNING,failed to retrieve ads
1782909280613157120,frontend,DEBUG,request complete
1782909281354696960,frontend,DEBUG,request started
1782909281354749952,frontend,DEBUG,serving product page
