time,frontend_mem,frontend_cpu,frontend_restarts,checkoutservice_mem,checkoutservice_cpu,checkoutservice_restarts,cartservice_mem,cartservice_cpu,cartservice_restarts,currencyservice_mem,currencyservice_cpu,currencyservice_restarts,paymentservice_mem,paymentservice_cpu,paymentservice_restarts,recommendationservice_mem,recommendationservice_cpu,recommendationservice_restarts,productcatalogservice_mem,productcatalogservice_cpu,productcatalogservice_restarts,shippingservice_mem,shippingservice_cpu,shippingservice_restarts,emailservice_mem,emailservice_cpu,emailservice_restarts,adservice_mem,adservice_cpu,adservice_restarts
1782909258,,,0.000000,,,0.000000,17125376.000000,,0.000000,,,0.000000,,,0.000000,3129344.000000,,,6033408.000000,,0.000000,,,0.000000,3117056.000000,,0.000000,,,
1782909288,5570560.000000,,0.000000,3506176.000000,,0.000000,32817152.000000,0.051904,0.000000,24801280.000000,,0.000000,24117248.000000,0.001128,0.000000,32903168.000000,0.039430,0.000000,6033408.000000,,0.000000,3670016.000000,,0.000000,3117056.000000,,1.000000,63025152.000000,,0.000000
1782909318,9158656.000000,0.012034,0.000000,5652480.000000,0.001207,0.000000,39870464.000000,0.061807,0.000000,25849856.000000,0.012792,0.000000,24117248.000000,0.001220,0.000000,33079296.000000,0.005811,0.000000,7737344.000000,,0.000000,5185536.000000,0.000552,0.000000,37494784.000000,,1.000000,73486336.000000,0.027553,0.000000
1782909348,9158656.000000,0.008372,0.000000,5992448.000000,0.000447,0.000000,40677376.000000,0.009506,0.000000,26419200.000000,0.012640,0.000000,24272896.000000,,0.000000,33079296.000000,0.006679,0.000000,8335360.000000,0.005484,0.000000,5345280.000000,0.000485,0.000000,37494784.000000,0.001331,1.000000,75763712.000000,0.016288,0.000000
1782909378,9465856.000000,,0.000000,6356992.000000,0.000283,0.000000,41435136.000000,0.008991,0.000000,26714112.000000,0.013647,0.000000,24444928.000000,0.000630,0.000000,33079296.000000,0.007228,0.000000,8138752.000000,0.005791,0.000000,5345280.000000,,0.000000,37494784.000000,0.000612,1.000000,78819328.000000,0.016900,0.000000
1782909408,9654272.000000,0.013664,0.000000,7122944.000000,0.000888,0.000000,42393600.000000,0.009102,0.000000,26923008.000000,0.010732,0.000000,24608768.000000,0.000534,0.000000,33079296.000000,0.006359,0.000000,8220672.000000,0.005544,0.000000,6406144.000000,,0.000000,37494784.000000,,1.000000,83705856.000000,0.012401,0.000000
1782909438,9654272.000000,0.007956,0.000000,7311360.000000,0.000433,0.000000,43089920.000000,0.009389,0.000000,27316224.000000,0.009147,0.000000,24584192.000000,0.000494,0.000000,33083392.000000,0.005830,0.000000,8220672.000000,0.002658,0.000000,6782976.000000,0.000618,0.000000,37494784.000000,0.001431,1.000000,83705856.000000,0.005410,0.000000
1782909468,9711616.000000,,0.000000,6987776.000000,0.000515,0.000000,43855872.000000,0.007396,0.000000,26628096.000000,0.014359,0.000000,24584192.000000,,0.000000,33083392.000000,0.002688,0.000000,8237056.000000,,0.000000,6836224.000000,0.000633,0.000000,37494784.000000,0.001339,1.000000,85581824.000000,,0.000000
1782909498,9646080.000000,0.014569,0.000000,6987776.000000,0.000397,0.000000,44793856.000000,0.007923,0.000000,26886144.000000,0.012089,0.000000,24678400.000000,0.000582,0.000000,33091584.000000,0.006624,0.000000,8134656.000000,0.006695,0.000000,7299072.000000,0.000806,0.000000,37502976.000000,0.001608,1.000000,88616960.000000,0.012637,0.000000
1782909528,9752576.000000,0.014676,0.000000,7102464.000000,,0.000000,45404160.000000,0.007140,0.000000,26886144.000000,,0.000000,24678400.000000,0.000657,0.000000,33083392.000000,0.005589,0.000000,8265728.000000,0.004483,0.000000,7299072.000000,0.000562,0.000000,37511168.000000,0.001717,1.000000,89358336.000000,0.007680,0.000000
