time,cdo-sample-api_mem,cdo-sample-api_cpu,cdo-sample-api_delay,notification-service_mem,notification-service_cpu,notification-service_delay
1782883318,19480576.000000,0.000290,4.878378,39714816.000000,0.000465,4.813333
1782883348,19480576.000000,0.000313,4.878378,39714816.000000,0.000449,4.781457
1782883378,19480576.000000,0.000273,4.878378,39714816.000000,0.000515,4.781458
1782883408,19480576.000000,0.000234,4.813333,39714816.000000,0.000544,4.750000
1782883438,19480576.000000,0.000266,4.813333,39714816.000000,0.000503,4.750000
1782883468,19480576.000000,0.000210,4.813333,39718912.000000,0.000524,4.750000
1782883498,19480576.000000,0.000256,4.813333,39718912.000000,0.000546,4.750000
1782883528,19480576.000000,0.000350,4.813333,39718912.000000,0.000493,4.750000
1782883558,19480576.000000,0.000183,4.813333,39718912.000000,0.000705,4.750000
1782883588,19480576.000000,0.000339,4.750000,39718912.000000,0.000388,4.750000
1782883618,19480576.000000,0.000310,4.750000,39723008.000000,0.000542,4.750000
1782883648,19480576.000000,0.000287,4.813333,39723008.000000,0.000459,4.781457
1782883678,19480576.000000,0.000260,4.813333,39723008.000000,0.000506,4.781457
1782883708,19480576.000000,0.000352,4.813333,39723008.000000,0.000535,4.813333
1782883738,19480576.000000,0.000255,4.813333,40329216.000000,0.000554,4.813333
1782883768,19480576.000000,0.000265,4.813333,40329216.000000,0.000367,4.813333
1782883798,19480576.000000,0.000243,4.813333,40333312.000000,0.000591,4.813333
1782883828,19480576.000000,0.000334,4.878378,40333312.000000,0.000537,4.813333
1782883858,19480576.000000,0.000143,4.878378,40329216.000000,0.000466,4.813333
1782883888,19480576.000000,,4.878378,40333312.000000,0.000490,4.813333
1782883918,19480576.000000,0.000251,4.878378,40333312.000000,0.000596,4.813333
1782883948,19484672.000000,0.000341,4.813333,40329216.000000,0.000493,4.781457
1782883978,19480576.000000,0.000287,4.813333,40329216.000000,0.000592,4.781457
1782884008,19480576.000000,0.000281,4.813333,40333312.000000,0.000441,4.750000
1782884038,19480576.000000,0.000258,4.813333,40329216.000000,0.000434,4.750000
1782884068,19484672.000000,0.000248,4.813333,40992768.000000,0.000553,4.750000
1782884098,19484672.000000,0.000304,4.813333,40996864.000000,0.000573,4.750000
1782884128,19484672.000000,0.000266,4.750000,40996864.000000,0.000499,4.750000
1782884158,19484672.000000,0.000163,4.750000,40996864.000000,0.000561,4.750000
1782884188,19484672.000000,,4.750000,41000960.000000,0.000512,4.750000
1782884218,19484672.000000,0.000261,4.750000,41000960.000000,0.000496,4.750000
1782884248,19484672.000000,0.000298,4.750000,41005056.000000,0.000542,4.781457
1782884278,19484672.000000,0.000246,4.750000,41000960.000000,0.000592,4.781457
1782884308,19484672.000000,0.000248,4.750000,40345600.000000,0.000533,4.781457
1782884338,19484672.000000,0.000226,4.750000,40345600.000000,0.000527,4.781457
1782884368,19488768.000000,0.000324,4.750000,40349696.000000,0.000510,4.813333
1782884398,19488768.000000,0.000272,4.750000,40345600.000000,0.000449,4.813333
1782884428,19488768.000000,0.000173,4.813333,40345600.000000,0.000525,4.813333
1782884458,19488768.000000,0.000440,4.813333,40345600.000000,0.000556,4.813333
1782884488,19488768.000000,0.000294,4.813333,40345600.000000,0.000540,4.845638
1782884518,19488768.000000,0.000275,4.813333,40345600.000000,0.000489,4.845638
1782884548,19488768.000000,0.000323,4.878378,40345600.000000,0.000477,4.813333
1782884578,19488768.000000,0.000246,4.878378,40349696.000000,0.000536,4.813333
1782884608,19488768.000000,0.000298,4.878378,40353792.000000,0.000537,4.845638
1782884638,19488768.000000,0.000255,4.878378,40357888.000000,0.000449,4.845638
1782884668,19488768.000000,0.000278,4.878378,40357888.000000,0.000637,4.845638
1782884698,19488768.000000,0.000330,4.878378,40353792.000000,0.000577,4.845638
1782884728,19488768.000000,0.000454,4.878378,40353792.000000,0.000463,4.845638
1782884758,19488768.000000,0.000143,4.878378,40353792.000000,0.000420,4.845638
1782884788,19488768.000000,0.000286,4.878378,40353792.000000,0.000565,4.813333
1782884818,19488768.000000,0.000327,4.878378,40357888.000000,0.000638,4.813333
1782884848,19488768.000000,0.000318,4.878378,40353792.000000,0.000367,4.845637
1782884878,19488768.000000,0.000157,4.878378,40353792.000000,0.000514,4.845638
1782884908,19488768.000000,0.000320,4.945205,40353792.000000,0.000468,4.845638
1782884938,19488768.000000,0.000133,4.945205,40361984.000000,0.000501,4.845638
1782884968,19488768.000000,,5.500000,40357888.000000,0.000581,4.813333
1782884998,19488768.000000,0.000285,5.500000,40357888.000000,0.000507,4.813333
1782885028,19488768.000000,0.000263,4.945205,40357888.000000,0.000874,4.813333
1782885058,19488768.000000,0.000143,4.945205,40357888.000000,0.000479,4.813334
1782885088,19488768.000000,,5.500000,40361984.000000,0.000523,4.845638
1782885118,19488768.000000,0.000206,5.500000,40357888.000000,0.000524,4.845638
1782885148,19488768.000000,0.000278,4.945205,40357888.000000,0.000623,4.845638
1782885178,18575360.000000,0.000303,4.945205,40357888.000000,0.000448,4.845638
1782885208,18575360.000000,,4.878378,40357888.000000,0.000584,4.845638
1782885238,18829312.000000,,4.878378,40357888.000000,0.000502,4.845638
1782885268,18829312.000000,0.000197,4.878378,40357888.000000,0.000501,4.845638
1782885298,18829312.000000,0.000428,4.878378,40361984.000000,0.000520,4.845638
1782885328,18755584.000000,0.000334,4.878378,40357888.000000,0.000580,4.878378
1782885358,18755584.000000,0.000252,4.878378,40357888.000000,0.000449,4.878378
1782885388,18755584.000000,0.000374,4.878378,40361984.000000,0.000668,4.878378
